id_sentimen,id_tokoh,id_wilayah,platform,raw_text,sentiment_label,keyword_category,url_postingan,created_at,tanggal_mentah,tipe_kemarahan,target_serangan,wilayah
1597,1,,TikTok,"aturan semua jg punya,tp liat perekonomian masarakat turun dan liar gmn pemasukan,an masarakat",Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
257,1,,TikTok,peraturan tertinggi ada di rakyat😂,Negatif,,,2026-02-25 19:46:39.483484+00:00,4 h yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
812,1,,TikTok,aturan ki yow kudu nton rakyate...r mung gari gae aturan...ngono lo,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
892,1,,TikTok,y jgn begitu pk meskipun punya dasar dan undang2 jgan dibebankan ke rakyat trus,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1257,1,,TikTok,aturan gedekno wetenge pejabat ntok... rakyat cilik jdi korbane,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2146,1,,TikTok,taat aturan yg menyusahkan rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2154,1,,TikTok,rata2 pejabat dari termul grup kebanyakan nyusahin rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2623,2,,TikTok,undang undang pemeras rakyat,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
2352,1,,TikTok,coba dicari penyebabnya dong pak ojo utang dibebankan rakyat tapi yang diatas enak2an....aturan ya aturan pak,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Beban Ekonomi,Pemerintahan,Lainnya/Jateng
1612,1,,TikTok,pilihan rakyat Jawatengah....mantap ..,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Pekalongan/Pantura (G)
2250,1,,TikTok,pejabat cari aman manusia2 Kapitalis,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Pemerintahan,Pekalongan/Pantura (G)
2790,2,,TikTok,"tahun 2025 wis mundak akeh, sekarang 2026 mundak lagi. mungkin do kurang kompensasi buat pejabatnya. rakyatnya DITEKEK",Negatif,,,2026-02-25 19:46:39.483484+00:00,23 j yang lalu,Beban Ekonomi,Pemerintahan,Pekalongan/Pantura (G)
1743,1,,TikTok,nyesel pak aku milih sampean,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Kekecewaan Politik,Gubernur,Lainnya/Jateng
695,1,,TikTok,demo segera turunkan lutfi,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-12,Lainnya,Gubernur,Lainnya/Jateng
463,1,,TikTok,ra maju Jawa Tengah dipimpin lutfi,Negatif,,,2026-02-25 19:46:39.483484+00:00,5 h yang lalu,Lainnya,Gubernur,Lainnya/Jateng
